business_id,date,ViolationTypeID,risk_category,description,business_name,business_address,business_city,business_state,inspection_id,inspection_date,inspection_type
70418,20150818,103131,Moderate Risk,Moderate risk vermin infestation,San Francisco Cooking School,690 Van Ness Ave,San Francisco,CA,70418_20180504,2018-05-04,Routine - Unscheduled
70779,20140603,103153,Low Risk,Inadequate dressing rooms or improper storage of personal items,Davids Tea,845 Market St #13,San Francisco,CA,70779_20190129,2019-01-29,Routine - Unscheduled
70912,20150302,103157,Low Risk,Food safety certificate or food handler card not available,Folsom Street Foundry,1425 Folsom St,San Francisco,CA,70912_20190705,2019-07-05,Routine - Unscheduled
71187,20160823,103135,Low Risk,No person in charge of food facility,Juicy Fruit,768 Jackson St,San Francisco,CA,71187_20171229,2017-12-29,Routine - Unscheduled
71327,20140529,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,TableTop Tap House,175 04th St,San Francisco,CA,71327_20190415,2019-04-15,Routine - Unscheduled
71803,20151105,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Charles Chocolates,535 Florida St,San Francisco,CA,71803_20181213,2018-12-13,Routine - Unscheduled
74869,20160919,103120,Moderate Risk,Moderate risk food holding temperature,Sabrosa,3200 Fillmore St,San Francisco,CA,74869_20171205,2017-12-05,Routine - Unscheduled
75306,20140613,103154,Low Risk,Unclean or degraded floors walls or ceilings,Cafe Murano,1777 Steiner St,San Francisco,CA,75306_20180430,2018-04-30,Routine - Unscheduled
76784,20150807,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Capital Restaurant,839 Clay,San Francisco,CA,76784_20181204,2018-12-04,Reinspection/Followup
77173,20150128,103152,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,Tamashi,1849 Union St,San Francisco,CA,77173_20170515,2017-05-15,Routine - Unscheduled
77548,20150106,103139,Low Risk,Improper food storage,Poc-Chuc Restaurant,2886 16th St,San Francisco,CA,77548_20181205,2018-12-05,Routine - Unscheduled
77559,20160324,103102,High Risk,Unclean hands or improper use of gloves,Union Larder,1945 Hyde St,San Francisco,CA,77559_20180223,2018-02-23,Routine - Unscheduled
77731,20140902,103120,Moderate Risk,Moderate risk food holding temperature,Souvla,517 Hayes St,San Francisco,CA,77731_20170403,2017-04-03,Routine - Unscheduled
78328,20160914,103154,Low Risk,Unclean or degraded floors walls or ceilings,Golden Wok,295 B Orizaba Ave,San Francisco,CA,78328_20170720,2017-07-20,Routine - Unscheduled
78747,20150304,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Palm House,2032 Union St,San Francisco,CA,78747_20181101,2018-11-01,Routine - Unscheduled
78934,20150319,103139,Low Risk,Improper food storage,Koja Kitchen CA01,343 Clement St,San Francisco,CA,78934_20180723,2018-07-23,Complaint
79052,20150312,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,Street Taco,1607 Haight St,San Francisco,CA,79052_20181105,2018-11-05,Routine - Unscheduled
79248,20160726,103131,Moderate Risk,Moderate risk vermin infestation,Ha Nam Ninh Restaurant,701 Larkin St,San Francisco,CA,79248_20190305,2019-03-05,Routine - Unscheduled
79821,20140805,103123,Moderate Risk,Food in poor condition,Perilla Vietnamese Cuisine,836 Irving St,San Francisco,CA,79821_20180821,2018-08-21,Routine - Unscheduled
80236,20150312,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Spinnerie,1401 Polk St,San Francisco,CA,80236_20170809,2017-08-09,Routine - Unscheduled
81170,20150210,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,Limon Rotisserie,5800 03rd St  1004,San Francisco,CA,81170_20170821,2017-08-21,Complaint
81667,20160901,103132,Moderate Risk,Improper thawing methods,Crazy Pepper,2257 San Jose Ave,San Francisco,CA,81667_20170426,2017-04-26,Routine - Unscheduled
81866,20150825,103109,High Risk,Unclean or unsanitary food contact surfaces,Woori Food Market,1528 Fillmore St,San Francisco,CA,81866_20190124,2019-01-24,Routine - Unscheduled
82656,20151020,103105,High Risk,Improper cooling methods,The Pin Up,772 Folsom St,San Francisco,CA,82656_20170411,2017-04-11,Routine - Unscheduled
82880,20160309,103154,Low Risk,Unclean or degraded floors walls or ceilings,Don Pablo,Off The Grid,San Francisco,CA,82880_20170530,2017-05-30,Routine - Unscheduled
83636,20160525,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Sam's Chowder Mobile #4,Off The Grid,San Francisco,CA,83636_20181109,2018-11-09,Routine - Unscheduled
83822,20160726,103154,Low Risk,Unclean or degraded floors walls or ceilings,Pescatore,2455 Mason St,San Francisco,CA,83822_20190425,2019-04-25,Routine - Unscheduled
83889,20160809,103157,Low Risk,Food safety certificate or food handler card not available,Earthbar,747 Market St,San Francisco,CA,83889_20161214,2016-12-14,Routine - Unscheduled
84103,20160624,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,TFM Cafe,1353 Taraval St,San Francisco,CA,84103_20180604,2018-06-04,Routine - Unscheduled
84759,20160726,103154,Low Risk,Unclean or degraded floors walls or ceilings,Hang Ah Tea Room,1 Pagoda Pl,San Francisco,CA,84759_20171207,2017-12-07,Routine - Unscheduled
85898,20160107,103133,Moderate Risk,Foods not protected from contamination,Urban Remedy,1 Ferry Building,San Francisco,CA,85898_20170127,2017-01-27,Routine - Unscheduled
86283,20160708,103129,Moderate Risk,Insufficient hot water or running water,The Baked Bear,2824 Jones St,San Francisco,CA,86283_20170719,2017-07-19,Routine - Unscheduled
86362,20160923,103139,Low Risk,Improper food storage,Aina,900 22nd St,San Francisco,CA,86362_20180126,2018-01-26,Routine - Unscheduled
86658,20160929,103161,Low Risk,Low risk vermin infestation,Clay Oven Indian Cuisine,1689 Church St,San Francisco,CA,86658_20180702,2018-07-02,Routine - Unscheduled
88303,20160822,103154,Low Risk,Unclean or degraded floors walls or ceilings,Kushi Tsuru,1737 Post St 380,San Francisco,CA,88303_20180426,2018-04-26,Routine - Unscheduled
89072,20160922,103120,Moderate Risk,Moderate risk food holding temperature,Epicurean@SHCP,1055 Ellis St.,San Francisco,CA,89072_20190925,2019-09-25,Routine - Unscheduled
33468,20161004,103153,Low Risk,Inadequate dressing rooms or improper storage of personal items,Stacks Restaurant,501 Hayes St,San Francisco,CA,33468_20171130,2017-11-30,Complaint
36519,20150121,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Pop's Sandwich Shop,737 Portola Dr,San Francisco,CA,36519_20171117,2017-11-17,Reinspection/Followup
57653,20150306,103147,Low Risk,Inadequate ventilation or lighting,Tacos San Buena #2,79 Sansome St,San Francisco,CA,57653_20170125,2017-01-25,Structural Inspection
68068,20150311,103138,Low Risk,Improper storage use or identification of toxic substances,The Chai Cart,525 Market/360 Valencia,San Francisco,CA,68068_20170126,2017-01-26,Structural Inspection
68148,20131028,103121,Moderate Risk,Inadequate procedures or records for time as a public health control,Sheng Kee Bakery & Cafe,814-816 Irving St,San Francisco,CA,68148_20180330,2018-03-30,Complaint
68629,20141023,103114,High Risk,High risk vermin infestation,TL Tobacco & Market,301 Turk St,San Francisco,CA,68629_20180129,2018-01-29,Reinspection/Followup
69194,20141009,103147,Low Risk,Inadequate ventilation or lighting,Grandma's Deli & Cafe,1551 Mission St,San Francisco,CA,69194_20180402,2018-04-02,Reinspection/Followup
69584,20140604,103143,Low Risk,Inadequate warewashing facilities or equipment,Eden Cafe,47 FRANKLIN St,San Francisco,CA,69584_20180702,2018-07-02,Complaint
70425,20131212,103142,Low Risk,Unclean nonfood contact surfaces,Peet's Coffee & Tea,1509 SLOAT Blvd,San Francisco,CA,70425_20190723,2019-07-23,New Construction
77054,20150318,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Ramen City,1398 Grant Ave,San Francisco,CA,77054_20190226,2019-02-26,Non-inspection site visit
80479,20160715,103121,Moderate Risk,Inadequate procedures or records for time as a public health control,The Market On Market,1355 Market St,San Francisco,CA,80479_20180215,2018-02-15,Complaint
82339,20160902,103133,Moderate Risk,Foods not protected from contamination,New Gyro King,25 Grove St,San Francisco,CA,82339_20190423,2019-04-23,Reinspection/Followup
82963,20160528,103112,High Risk,No hot water or running water,Anzu To You,428 11th St,San Francisco,CA,82963_20170728,2017-07-28,Reinspection/Followup
36348,20150303,103120,Moderate Risk,Moderate risk food holding temperature,El Tepa,2198 Folsom St,San Francisco,CA,36348_20191002,2019-10-02,Routine - Unscheduled
1289,20150323,103131,Moderate Risk,Moderate risk vermin infestation,ORPHAN ANDY'S,3991 A 17th St,San Francisco,CA,1289_20161206,2016-12-06,Routine - Unscheduled
4868,20160831,103131,Moderate Risk,Moderate risk vermin infestation,NABILA'S HAYES VALLEY HEALTH FOOD,559 HAYES St,San Francisco,CA,4868_20170706,2017-07-06,Routine - Unscheduled
409,20150414,103150,Low Risk,Improper or defective plumbing,EL FARO,82 01st St,San Francisco,CA,409_20170627,2017-06-27,Routine - Unscheduled
35565,20140718,103133,Moderate Risk,Foods not protected from contamination,Daldas Market,200 Eddy St,San Francisco,CA,35565_20170905,2017-09-05,Routine - Unscheduled
60518,20140827,103142,Low Risk,Unclean nonfood contact surfaces,Ninki Sushi Bar & Restaurant,1439 TARAVAL St,San Francisco,CA,60518_20170824,2017-08-24,Routine - Unscheduled
64454,20150618,103103,High Risk,High risk food holding temperature,Sushirrito,59 New Montgomery St,San Francisco,CA,64454_20190625,2019-06-25,Routine - Unscheduled
60355,20140805,103103,High Risk,High risk food holding temperature,Taqueria Castillo B,86 McAllister St,San Francisco,CA,60355_20170927,2017-09-27,Routine - Unscheduled
510,20141103,103139,Low Risk,Improper food storage,Donut Time,2401 Noriega St,San Francisco,CA,510_20161109,2016-11-09,Routine - Unscheduled
73,20160927,103154,Low Risk,Unclean or degraded floors walls or ceilings,Santino's Vino,2101 Fillmore St,San Francisco,CA,73_20171129,2017-11-29,Routine - Unscheduled
7772,20140611,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,LA REYNA BAKERY,3114 24th St,San Francisco,CA,7772_20190108,2019-01-08,Routine - Unscheduled
59934,20140701,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Ted's Sports Bar & Grill,312 HARRIET St,San Francisco,CA,59934_20180212,2018-02-12,Routine - Unscheduled
59044,20160719,103133,Moderate Risk,Foods not protected from contamination,Taqueria Cazadores,1600 C Mission St,San Francisco,CA,59044_20180122,2018-01-22,Routine - Unscheduled
64338,20160718,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Hi Tops,2247 Market St,San Francisco,CA,64338_20180103,2018-01-03,Routine - Unscheduled
2841,20150102,103154,Low Risk,Unclean or degraded floors walls or ceilings,"THE OLYMPIC CLUB AT LAKESIDE, UPPER",599 SKYLINE Blvd,San Francisco,CA,2841_20170818,2017-08-18,Routine - Unscheduled
3046,20141017,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,Mollie Stone's Grand Central Market,2435 CALIFORNIA St,San Francisco,CA,3046_20170505,2017-05-05,Routine - Unscheduled
3838,20160805,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,CAFE PICARO,3120 16th St,San Francisco,CA,3838_20180222,2018-02-22,Routine - Unscheduled
2995,20140624,103157,Low Risk,Food safety certificate or food handler card not available,CAFE ROCCO,1131 FOLSOM St,San Francisco,CA,2995_20190305,2019-03-05,Routine - Unscheduled
38258,20160825,103109,High Risk,Unclean or unsanitary food contact surfaces,Hong Kong Bakery,4711 MISSION St,San Francisco,CA,38258_20190108,2019-01-08,Routine - Unscheduled
6636,20150619,103145,Low Risk,Improper storage of equipment utensils or linens,STARBUCKS,1390 MARKET St,San Francisco,CA,6636_20180417,2018-04-17,Routine - Unscheduled
17947,20140327,103157,Low Risk,Food safety certificate or food handler card not available,Um Ma Son,5850 GEARY BLVD,San Francisco,CA,17947_20190618,2019-06-18,Routine - Unscheduled
30532,20150112,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,Roadhouse Cafe,5191 03rd St,San Francisco,CA,30532_20190925,2019-09-25,Routine - Unscheduled
63503,20160720,103157,Low Risk,Food safety certificate or food handler card not available,Mason Street Deli and Market,39 MASON,San Francisco,CA,63503_20180604,2018-06-04,Routine - Unscheduled
1300,20160927,103148,Low Risk,No thermometers or uncalibrated thermometers,WE BE SUSHI,1071 VALENCIA St,San Francisco,CA,1300_20171005,2017-10-05,Routine - Unscheduled
4608,20141008,103109,High Risk,Unclean or unsanitary food contact surfaces,Gourmet Kitchen,1051 Stockton St,San Francisco,CA,4608_20170801,2017-08-01,Routine - Unscheduled
1742,20150630,103129,Moderate Risk,Insufficient hot water or running water,McAllister Grocery & Deli,136 McAllister St,San Francisco,CA,1742_20170214,2017-02-14,Routine - Unscheduled
4844,20151208,103103,High Risk,High risk food holding temperature,SAFEWAY #909,730 TARAVAL,San Francisco,CA,4844_20170829,2017-08-29,Routine - Unscheduled
2858,20140910,103120,Moderate Risk,Moderate risk food holding temperature,Kokkari,200 Jackson St,San Francisco,CA,2858_20170222,2017-02-22,Complaint
786,20160822,103132,Moderate Risk,Improper thawing methods,Piperade,1015 Battery St,San Francisco,CA,786_20190215,2019-02-15,Routine - Unscheduled
985,20131024,103154,Low Risk,Unclean or degraded floors walls or ceilings,The Sunset's Best Seafood Restaurant,3060 TARAVAL St,San Francisco,CA,985_20180924,2018-09-24,Routine - Unscheduled
58745,20140528,103150,Low Risk,Improper or defective plumbing,San Francisco Tennis Club,645 05th St,San Francisco,CA,58745_20170112,2017-01-12,Routine - Unscheduled
2919,20140612,103154,Low Risk,Unclean or degraded floors walls or ceilings,OMNI S.F. Hotel - Restaurant & Bar,"500 California St, 1st Floor",San Francisco,CA,2919_20190501,2019-05-01,Routine - Unscheduled
3006,20141023,103109,High Risk,Unclean or unsanitary food contact surfaces,Local Roots Leidesdorff,70 Leidesdorff St,San Francisco,CA,3006_20171026,2017-10-26,Routine - Unscheduled
557,20150507,103133,Moderate Risk,Foods not protected from contamination,TASTEBUDS,600 05th Ave,San Francisco,CA,557_20180905,2018-09-05,Routine - Unscheduled
6677,20160804,103138,Low Risk,Improper storage use or identification of toxic substances,SNACK & BOTTLE SHOP,644 PERSIA Ave,San Francisco,CA,6677_20170711,2017-07-11,Routine - Unscheduled
1664,20140423,103129,Moderate Risk,Insufficient hot water or running water,PANDA EXPRESS,865 MARKET St C24,San Francisco,CA,1664_20190822,2019-08-22,Routine - Unscheduled
3796,20140506,103145,Low Risk,Improper storage of equipment utensils or linens,Johnny Foley's Irish House,243 O'Farrell St,San Francisco,CA,3796_20170417,2017-04-17,Routine - Unscheduled
61514,20150226,103145,Low Risk,Improper storage of equipment utensils or linens,Foods Co #357,1800 FOLSOM St,San Francisco,CA,61514_20180425,2018-04-25,Routine - Unscheduled
37879,20151006,103135,Low Risk,No person in charge of food facility,Cafe Mystique,464 CASTRO St,San Francisco,CA,37879_20181206,2018-12-06,Routine - Unscheduled
6739,20140603,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,Jamie Supermarket,1135 Stockton St,San Francisco,CA,6739_20161220,2016-12-20,Routine - Unscheduled
5267,20150513,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Knights Catering,255 MENDELL STREET,San Francisco,CA,5267_20190717,2019-07-17,Routine - Unscheduled
1582,20141022,103103,High Risk,High risk food holding temperature,Caffe Bianco,39 Sutter St,San Francisco,CA,1582_20171128,2017-11-28,Routine - Unscheduled
32671,20140611,103161,Low Risk,Low risk vermin infestation,La Taqueria Guadalajara,3146 24th St,San Francisco,CA,32671_20180508,2018-05-08,Routine - Unscheduled
58922,20160831,103138,Low Risk,Improper storage use or identification of toxic substances,Naples Pizzarella,1192 GENEVA Ave,San Francisco,CA,58922_20170913,2017-09-13,Routine - Unscheduled
3165,20140814,103145,Low Risk,Improper storage of equipment utensils or linens,HAN IL KWAN,1802 BALBOA St,San Francisco,CA,3165_20181127,2018-11-27,Routine - Unscheduled
33160,20150302,103103,High Risk,High risk food holding temperature,Mission Bay Cafe,550 Terry Francois St,San Francisco,CA,33160_20161205,2016-12-05,Routine - Unscheduled
2145,20150512,103120,Moderate Risk,Moderate risk food holding temperature,FRINGALE,570 04th St,San Francisco,CA,2145_20180517,2018-05-17,Routine - Unscheduled
8948,20140619,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,SEGAFREDO,33 Powell St,San Francisco,CA,8948_20180208,2018-02-08,Routine - Unscheduled
2334,20160822,103142,Low Risk,Unclean nonfood contact surfaces,LA PAZ RESTAURANT,1028 POTRERO Ave,San Francisco,CA,2334_20190509,2019-05-09,Routine - Unscheduled
57698,20150225,103154,Low Risk,Unclean or degraded floors walls or ceilings,China Fun Express,211 Kearny St,San Francisco,CA,57698_20190829,2019-08-29,Routine - Unscheduled
943,20150720,103107,High Risk,Improper reheating of food,EL CASTILLITO TAQUERIA INC.,136 CHURCH St,San Francisco,CA,943_20180426,2018-04-26,Routine - Unscheduled
4874,20141029,103120,Moderate Risk,Moderate risk food holding temperature,JUMP START COFFEE & GROCERY,1192 GUERRERO St,San Francisco,CA,4874_20170815,2017-08-15,Routine - Unscheduled
59577,20160907,103132,Moderate Risk,Improper thawing methods,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,59577_20190206,2019-02-06,Routine - Unscheduled
884,20141006,103120,Moderate Risk,Moderate risk food holding temperature,House of Nanking,919 Kearny St,San Francisco,CA,884_20161005,2016-10-05,Routine - Unscheduled
2336,20160817,103161,Low Risk,Low risk vermin infestation,Ristorante Ti Piacera,1507 Polk St,San Francisco,CA,2336_20180227,2018-02-27,Routine - Unscheduled
1426,20141210,103129,Moderate Risk,Insufficient hot water or running water,SWEET DELIGHT BAKERY,4476A MISSION,San Francisco,CA,1426_20161026,2016-10-26,Routine - Unscheduled
5144,20131206,103156,Low Risk,Permit license or inspection report not posted,POPEYES CHICKEN & BISCUIT,599 DIVISADERO St,San Francisco,CA,5144_20170601,2017-06-01,Routine - Unscheduled
5838,20140912,103144,Low Risk,Unapproved or unmaintained equipment or utensils,HARVEY MILK ELEMENTARY SCHOOL,4235 19th St,San Francisco,CA,5838_20190925,2019-09-25,Routine - Unscheduled
488,20140916,103142,Low Risk,Unclean nonfood contact surfaces,The House,1230 Grant Ave,San Francisco,CA,488_20180116,2018-01-16,Routine - Unscheduled
59988,20150311,103154,Low Risk,Unclean or degraded floors walls or ceilings,The Little Chihuahua,292 Divisadero St,San Francisco,CA,59988_20190424,2019-04-24,Routine - Unscheduled
60331,20150521,103105,High Risk,Improper cooling methods,Sunflower Potrero Hill,288 CONNECTICUT St,San Francisco,CA,60331_20170124,2017-01-24,Routine - Unscheduled
39776,20160922,103139,Low Risk,Improper food storage,Duc Loi Supermarket,2200 MISSION St,San Francisco,CA,39776_20190422,2019-04-22,Routine - Unscheduled
5124,20141120,103145,Low Risk,Improper storage of equipment utensils or linens,PIZZA HUT #758280,728 GEARY St,San Francisco,CA,5124_20171012,2017-10-12,Routine - Unscheduled
64076,20150513,103154,Low Risk,Unclean or degraded floors walls or ceilings,The Sycamore,2140 MISSION St,San Francisco,CA,64076_20171106,2017-11-06,Routine - Unscheduled
2519,20160413,103105,High Risk,Improper cooling methods,PACIFIC PLAZA CAFE,1340 FRANKLIN St,San Francisco,CA,2519_20190709,2019-07-09,Routine - Unscheduled
63121,20160803,103103,High Risk,High risk food holding temperature,Sodini's Restaurant,510 Green St,San Francisco,CA,63121_20190605,2019-06-05,Routine - Unscheduled
4416,20140422,103143,Low Risk,Inadequate warewashing facilities or equipment,Sweetie's,475 Francisco St,San Francisco,CA,4416_20171012,2017-10-12,Routine - Unscheduled
63653,20150318,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,SFDH - Scala's Bistro Restaurant,450 Powell St 1st Floor,San Francisco,CA,63653_20190904,2019-09-04,Routine - Unscheduled
32625,20140916,103144,Low Risk,Unapproved or unmaintained equipment or utensils,Korean Village Restaurant,4611 GEARY Blvd,San Francisco,CA,32625_20190425,2019-04-25,Routine - Unscheduled
2234,20140520,103115,High Risk,Other high risk violation,Kam Lok Restaurant,834 Washington St,San Francisco,CA,2234_20190107,2019-01-07,Routine - Unscheduled
1075,20160111,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities,"SANDWICH PLACE, THE",2029 MISSION St,San Francisco,CA,1075_20190926,2019-09-26,Routine - Unscheduled
2854,20160915,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,SANRAKU,101 04th St 1/F,San Francisco,CA,2854_20190313,2019-03-13,Routine - Unscheduled
13218,20150603,103154,Low Risk,Unclean or degraded floors walls or ceilings,"LESLIE A. HENNESSY, INC.",545 02nd St,San Francisco,CA,13218_20170829,2017-08-29,Routine - Unscheduled
792,20141124,103154,Low Risk,Unclean or degraded floors walls or ceilings,Boudin Bakery,Pier 39  Front,San Francisco,CA,792_20190626,2019-06-26,Routine - Unscheduled
38072,20140606,103150,Low Risk,Improper or defective plumbing,6001 California Market,6001 California St,San Francisco,CA,38072_20180925,2018-09-25,Routine - Unscheduled
7645,20140702,103156,Low Risk,Permit license or inspection report not posted,LUCKY PORK MARKET,2659 MISSION St,San Francisco,CA,7645_20161230,2016-12-30,Routine - Unscheduled
33442,20160804,103131,Moderate Risk,Moderate risk vermin infestation,Miller's East Coast Deli,1725 Polk St,San Francisco,CA,33442_20180131,2018-01-31,Routine - Unscheduled
999,20150519,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,SERRANO'S PIZZA II,3274 21st St,San Francisco,CA,999_20170714,2017-07-14,Routine - Unscheduled
63413,20140911,103103,High Risk,High risk food holding temperature,Mymy,1500 California St,San Francisco,CA,63413_20170202,2017-02-02,Routine - Unscheduled
35805,20141114,103157,Low Risk,Food safety certificate or food handler card not available,Hard Knox Cafe,2448 Clement,San Francisco,CA,35805_20190619,2019-06-19,Routine - Unscheduled
61285,20160927,103154,Low Risk,Unclean or degraded floors walls or ceilings,Cocola,3251 20th Ave 186,San Francisco,CA,61285_20190322,2019-03-22,Routine - Unscheduled
1243,20140729,103143,Low Risk,Inadequate warewashing facilities or equipment,JAVA SUPREME,0703 GUERRERO St,San Francisco,CA,1243_20171012,2017-10-12,Routine - Unscheduled
3495,20140909,103147,Low Risk,Inadequate ventilation or lighting,Ryoko's,619 Taylor St,San Francisco,CA,3495_20190626,2019-06-26,Routine - Unscheduled
